"","Density","median","Experiment","centred_time"
"222","0.01",0.00335456624122911,"Feb8",4.23698728245086
"223","0.01",0.00314105832424705,"Feb8",4.73698728245086
"224","0.01",0.0029970202065528,"Feb8",5.23698728245086
"225","0.01",0.0021845501309266,"Feb8",5.73698728245086
"226","0.01",0.00367820265383222,"Feb8",6.23698728245086
"227","1",0.00540989628634782,"Jan28",-4.60672493819031
"228","1",0.00491782937936338,"Jan28",-4.10672493819031
"229","1",0.00482507691900867,"Jan28",-3.60672493819031
"230","1",0.00258611924746078,"Jan28",-3.10672493819031
"231","1",0.00345782700679686,"Jan28",-2.60672493819031
"232","1",0.0029378175654706,"Jan28",-2.10672493819031
"233","1",0.00600832318007014,"Jan28",-1.60672493819031
"234","1",0.00983814073484786,"Jan28",-1.10672493819031
"235","1",0.00349537518475135,"Jan28",-0.60672493819031
"236","1",0.00420937249573668,"Jan28",-0.10672493819031
"237","1",0.00241282467064813,"Jan28",0.39327506180969
"238","1",0.0019625257334579,"Jan28",0.89327506180969
"239","1",0.00171308288208204,"Jan28",1.39327506180969
"240","1",0.00151963693827808,"Jan28",1.89327506180969
"241","1",0.00155152723759752,"Jan28",2.39327506180969
"242","1",0.00157806664467273,"Jan28",2.89327506180969
"243","1",0.00173575649849832,"Jan28",3.39327506180969
"244","1",0.00213784171026405,"Jan28",3.89327506180969
"245","1",0.00244415340869626,"Jan28",4.39327506180969
"246","1",0.00199978443295444,"Jan28",4.89327506180969
"247","1",0.00358274669845911,"Jan28",5.39327506180969
"248","1",0.003039261649849,"Jan28",5.89327506180969
"249","1",0.00296773180942244,"Jan28",6.39327506180969
"250","1",0.00299407593065175,"Jan28",6.89327506180969
"251","1",0.00337314807291281,"Jan28",7.39327506180969
"252","1",0.00415082169815793,"Jan28",7.89327506180969
"253","1",0.0040803528840921,"Jan28",8.39327506180969
"254","1",0,"Jan28",8.89327506180969
"255","1",0,"Jan28",9.39327506180969
"256","0.1",0.00478399294891545,"Mar1",-7.74126840807487
"257","0.1",0.00544752382867301,"Mar1",-7.24126840807487
"258","0.1",0.00585912983146587,"Mar1",-6.74126840807487
